CODI MESURAMENT,CODI EOI,PROVINCIA,CODI MUNICIPI,CODI ESTACIÓ,NOM ESTACIÓ,MUNICIPI,LATITUD,LONGITUD,ALTITUD,TIPUS ESTACIÓ,ÀREA URBANA,MAGNITUD,CONTAMINANT,UNITATS,PUNT MOSTREIG,ANY,MES,DIA,DATA,H01,V01,H02,V02,H03,V03,H04,V04,H05,V05,H06,V06,H07,V07,H08,V08,H09,V09,H10,V10,H11,V11,H12,V12,H13,V13,H14,V14,H15,V15,H16,V16,H17,V17,H18,V18,H19,V19,H20,V20,H21,V21,H22,V22,H23,V23,H24,V24,Georeferència
08015021_8_20200102,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,2,02/01/2020,29,V,30,V,18,V,16,V,16,V,19,V,27,V,31,V,29,V,33,V,34,V,32,V,32,V,28,V,28,V,37,V,49,V,60,V,74,V,80,V,75,V,57,V,45,V,34,V,"(41.443985, 2.2378986)"
08015021_8_20200101,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,1,01/01/2020,16,V,21,V,20,V,21,V,19,V,19,V,20,V,23,V,26,V,24,V,19,V,21,V,20,V,23,V,23,V,19,V,22,V,27,V,56,V,58,V,54,V,59,V,52,V,43,V,"(41.443985, 2.2378986)"
08015021_8_20200116,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,16,16/01/2020,64,V,63,V,56,V,50,V,47,V,47,V,48,V,51,V,53,V,53,V,56,V,52,V,63,V,61,V,48,V,53,V,66,V,72,V,77,V,85,V,84,V,64,V,67,V,66,V,"(41.443985, 2.2378986)"
08015021_8_20200115,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,15,15/01/2020,71,V,65,V,62,V,64,V,53,V,43,V,42,V,47,V,52,V,53,V,,N,,N,,N,65,V,60,V,51,V,58,V,75,V,94,V,101,V,86,V,77,V,61,V,64,V,"(41.443985, 2.2378986)"
08015021_8_20200107,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,7,07/01/2020,48,V,43,V,39,V,33,V,26,V,23,V,29,V,37,V,41,V,34,V,36,V,37,V,35,V,32,V,32,V,41,V,57,V,71,V,58,V,54,V,56,V,52,V,51,V,49,V,"(41.443985, 2.2378986)"
08015021_8_20200106,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,6,06/01/2020,54,V,48,V,44,V,32,V,25,V,32,V,34,V,35,V,33,V,32,V,33,V,35,V,32,V,23,V,15,V,12,V,12,V,35,V,75,V,74,V,83,V,71,V,61,V,55,V,"(41.443985, 2.2378986)"
08015021_8_20200105,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,5,05/01/2020,21,V,18,V,22,V,15,V,10,V,10,V,10,V,12,V,13,V,15,V,15,V,18,V,22,V,21,V,16,V,14,V,20,V,27,V,62,V,62,V,63,V,56,V,57,V,52,V,"(41.443985, 2.2378986)"
08015021_8_20200130,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,30,30/01/2020,49,V,45,V,40,V,47,V,45,V,37,V,42,V,43,V,46,V,48,V,56,V,53,V,34,V,27,V,20,V,22,V,23,V,37,V,44,V,47,V,51,V,47,V,49,V,53,V,"(41.443985, 2.2378986)"
08015021_8_20200104,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,4,04/01/2020,35,V,34,V,31,V,26,V,20,V,21,V,26,V,32,V,34,V,36,V,31,V,33,V,30,V,25,V,25,V,25,V,33,V,37,V,36,V,30,V,31,V,24,V,20,V,21,V,"(41.443985, 2.2378986)"
08015021_8_20200103,8015021,8,15,21,Badalona,Badalona,41.443985,2.2378986,7,background,urban,8,NO2,µg/m3,08015021_8_8,2020,1,3,03/01/2020,27,V,21,V,19,V,16,V,17,V,19,V,24,V,30,V,30,V,34,V,35,V,29,V,28,V,24,V,27,V,33,V,36,V,41,V,45,V,42,V,40,V,43,V,42,V,37,V,"(41.443985, 2.2378986)"
